word,valence,arousal,dominance,concreteness,SUBTLEX,aoa
abyss,3.9,4.85,4.0,3.07,90.0,11.0
academic,6.61,3.32,6.21,2.11,238.0,9.74
academy,5.32,3.77,5.38,4.29,633.0,9.05
accelerant,4.59,4.81,6.04,3.4,28.0,12.84
accelerate,6.1,6.04,6.15,3.48,65.0,10.74
accelerated,6.21,4.75,6.29,3.18,49.0,10.11
acceleration,6.19,6.73,5.76,2.97,44.0,9.84
accelerator,5.63,5.0,6.65,4.32,69.0,10.27
accent,6.48,4.95,5.36,3.26,621.0,8.6
accept,6.39,2.8,5.94,3.03,2692.0,6.74
acceptable,6.59,3.65,6.58,1.93,269.0,9.84
acceptance,6.84,4.3,6.49,2.21,161.0,8.56
access,6.68,5.3,6.89,2.71,1615.0,9.1
accessible,6.68,3.2,6.58,1.8,56.0,9.94
accessory,5.35,4.22,5.83,4.1,147.0,11.15
accident,2.55,4.93,3.0,3.26,4146.0,5.3
accidental,3.46,4.0,3.41,2.17,153.0,6.75
acclaim,6.1,3.95,5.77,2.04,22.0,12.11
accommodate,6.35,3.0,6.27,1.86,109.0,9.9
accommodation,6.76,4.72,6.0,2.96,48.0,9.58
accompany,5.47,3.85,5.63,3.07,242.0,10.75
accomplice,4.6,4.5,5.2,3.34,216.0,9.78
accomplish,7.45,5.16,7.27,2.33,298.0,7.84
accomplishment,8.05,4.96,6.5,2.5,96.0,9.0
accord,6.38,2.85,5.64,1.57,83.0,9.65
accordion,5.26,2.94,5.21,4.86,67.0,8.61
account,5.39,3.76,5.06,3.08,2280.0,8.26
accountability,4.89,3.7,6.55,1.55,24.0,12.16
accountable,5.7,4.2,5.57,2.21,72.0,11.7
accountant,5.19,3.81,5.72,4.41,315.0,11.67
accounting,4.42,3.68,4.48,3.27,230.0,12.05
accumulate,6.33,2.73,6.15,3.0,29.0,12.3
accuracy,6.32,3.33,6.74,1.85,76.0,9.71
accurate,7.42,4.35,6.47,1.9,400.0,9.44
accursed,3.21,5.33,4.13,1.93,33.0,12.71
accusation,3.38,5.48,3.62,2.38,143.0,10.17
accuse,2.68,5.32,4.0,2.25,290.0,9.1
ace,6.37,4.64,6.61,3.92,751.0,8.83
acetylene,4.11,3.67,4.7,3.58,23.0,16.88
ache,3.27,4.3,4.0,3.43,127.0,5.79
achieve,7.75,4.7,6.61,2.29,374.0,8.53
achievement,7.28,5.57,7.17,2.37,178.0,8.8
achy,3.15,4.48,4.62,2.96,23.0,8.06
acid,3.26,4.77,4.26,4.25,508.0,9.6
acknowledge,6.43,3.26,6.11,2.03,313.0,9.11
acknowledgement,6.53,3.3,6.71,2.62,21.0,9.95
acne,2.18,4.47,3.44,4.89,46.0,11.4
acorn,5.85,4.42,4.77,4.96,37.0,5.95
acoustic,7.1,4.0,5.79,3.28,49.0,12.39
acoustics,6.33,3.19,5.86,3.12,22.0,11.32
acquaintance,5.58,3.24,5.29,3.41,273.0,10.48
acquire,5.5,4.86,7.0,2.93,135.0,9.94
acquisition,5.0,4.36,5.93,2.6,74.0,13.63
acquit,5.6,4.56,5.45,2.13,24.0,13.22
acquittal,6.19,4.95,5.03,2.38,37.0,12.39
acre,5.53,2.73,4.94,4.18,93.0,9.8
acreage,5.25,3.74,5.52,,,13.13
acrobat,6.0,4.9,5.42,4.46,30.0,8.05
acrylic,5.52,3.73,5.42,4.31,23.0,11.56
act,5.64,4.19,6.11,2.46,5565.0,6.42
action,6.0,6.19,6.17,2.86,3115.0,6.67
action figure,6.18,4.65,6.71,,,
activate,5.7,3.78,6.28,2.97,238.0,11.11
activation,6.14,3.52,6.88,2.41,43.0,9.78
active,6.47,5.62,6.32,3.32,584.0,6.53
activist,6.24,5.26,5.86,3.34,50.0,11.8
activity,6.21,4.86,6.45,2.72,657.0,6.47
actor,6.15,4.35,5.64,4.57,1343.0,7.17
actress,5.42,5.43,4.65,4.54,817.0,6.17
actual,6.22,2.75,5.54,2.22,884.0,6.94
actuality,5.4,5.55,5.24,1.96,24.0,12.38
acupuncture,4.81,4.9,4.77,3.83,37.0,11.79
acute,5.1,5.09,5.11,1.92,150.0,11.6
ad,4.11,3.33,5.18,4.46,694.0,8.22
adage,5.55,3.38,5.13,1.86,32.0,16.21
adamant,5.45,5.74,6.38,1.65,50.0,14.29
adapt,5.84,3.9,5.75,2.41,134.0,9.0
adaptation,5.82,3.55,6.04,2.04,81.0,11.39
add,6.23,4.0,6.79,3.0,1686.0,5.1
adder,4.45,3.24,4.41,,,12.13
addict,2.86,5.33,2.74,3.14,273.0,11.17
addicted,2.89,4.77,2.84,2.13,231.0,
addiction,3.52,4.48,3.84,2.85,199.0,12.11
addictive,3.52,4.82,4.4,2.22,57.0,10.33
additional,6.15,3.61,4.95,2.43,300.0,9.0
address,6.11,3.05,4.89,3.89,2666.0,5.15
adept,6.14,4.17,6.5,2.23,33.0,12.5
adequate,4.7,3.64,6.89,1.97,132.0,10.35
adhere,5.17,3.52,3.9,2.62,29.0,10.78
adhesive,5.84,3.2,4.88,4.35,47.0,9.17
adidas,5.77,4.18,6.3,,,
adjacent,5.15,2.78,4.27,3.63,68.0,11.05
adjective,5.95,3.64,6.11,2.43,25.0,8.6
adjoining,5.06,3.52,4.65,2.93,57.0,11.85
adjourn,5.5,3.15,5.75,2.54,66.0,12.59
adjust,5.76,3.0,6.0,2.93,287.0,8.43
adjuster,4.25,3.5,5.84,3.23,20.0,11.28
adjustment,5.53,4.59,4.53,2.81,158.0,9.74
admin,4.37,3.64,5.83,2.96,22.0,13.89
administer,4.4,3.86,6.33,2.53,85.0,9.42
administration,4.45,3.23,4.77,2.78,387.0,11.11
administrative,4.79,3.21,5.9,2.14,82.0,11.5
administrator,5.32,4.74,5.48,3.89,84.0,12.22
admirable,7.0,4.57,5.81,1.81,133.0,11.42
admiral,4.8,4.05,5.68,4.11,845.0,8.72
admiralty,6.16,4.27,6.08,,,11.41
admiration,7.58,5.52,6.11,1.86,107.0,8.95
admire,7.35,5.0,7.33,2.04,722.0,7.42
admired,7.25,5.95,6.94,1.84,187.0,
admirer,7.05,6.0,6.27,2.93,151.0,8.78
admissible,5.16,2.9,6.21,1.88,37.0,13.1
admission,5.91,3.69,5.54,2.83,181.0,8.84
admit,5.56,3.35,4.56,2.32,3019.0,7.56
admittance,6.29,3.6,5.96,2.26,34.0,10.39
ado,4.82,3.33,4.48,,,11.88
adobe,5.25,3.89,5.55,4.19,24.0,12.22
adolescence,6.0,5.1,4.44,2.81,44.0,10.42
adolescent,5.38,4.2,4.0,3.48,94.0,11.05
adopt,6.9,4.71,5.45,2.36,238.0,7.83
adoption,6.68,4.82,5.62,3.03,239.0,7.79
adoptive,5.67,4.4,5.59,2.0,30.0,9.16
adorable,7.4,4.66,6.83,1.86,537.0,6.94
adoration,6.47,4.36,6.54,2.19,30.0,11.8
adore,7.37,5.96,6.26,2.34,394.0,7.95
adoring,7.38,4.86,6.29,2.34,35.0,8.53
adrenalin,6.33,5.05,4.85,3.17,28.0,11.65
adrenaline,6.61,5.95,5.72,3.04,168.0,11.63
adrift,4.36,3.19,4.09,2.71,51.0,11.21
adult,5.9,4.36,6.46,4.4,729.0,4.68
adulterer,2.77,5.68,3.2,2.96,20.0,11.63
adultery,2.81,6.42,3.33,2.79,99.0,11.84
adulthood,5.05,4.28,6.11,2.5,37.0,9.95
advance,6.11,4.62,6.12,2.57,815.0,8.35
advanced,6.14,3.83,6.96,1.83,451.0,9.05
advancement,7.47,5.81,6.38,2.1,63.0,10.89
advantage,6.71,3.95,7.19,2.0,1125.0,9.32
advantageous,6.79,5.7,6.22,2.07,20.0,12.62
adventure,7.4,6.36,6.36,2.59,685.0,5.67
adventurer,7.0,5.27,5.83,3.73,37.0,7.79
adventurous,7.37,6.67,5.71,1.95,62.0,10.0
adversary,4.55,4.41,5.0,2.93,77.0,12.67
adverse,3.68,3.89,3.35,2.23,36.0,10.72
adversity,4.26,3.82,4.63,1.44,54.0,11.79
advertise,5.16,4.29,5.74,2.81,84.0,9.63
advertisement,4.3,4.14,5.84,3.77,61.0,7.67
advertising,4.68,3.25,5.0,3.88,379.0,9.95
advice,5.78,3.05,5.83,2.73,2447.0,8.61
advisable,5.62,4.36,5.86,1.93,40.0,10.75
advise,5.44,3.38,6.41,2.03,622.0,8.89
advisement,4.55,4.04,5.92,2.52,39.0,12.5
adviser,5.68,3.36,6.18,3.67,53.0,10.78
advisor,4.74,3.19,5.7,4.15,225.0,11.24
advisory,4.95,4.05,4.19,2.5,51.0,11.55
advocate,5.25,4.59,7.26,2.72,113.0,11.11
aerial,6.04,3.67,5.17,3.04,129.0,11.5
aerobics,6.0,5.1,5.7,3.72,79.0,11.0
aerodynamic,6.16,4.33,5.1,2.88,22.0,13.4
aerospace,5.79,4.52,5.17,3.19,55.0,12.06
aesthetic,5.43,2.88,5.5,2.33,34.0,15.74
affair,3.1,5.4,5.89,2.45,1502.0,10.94
affect,5.65,3.61,6.39,1.93,568.0,9.6
affection,7.89,5.64,6.6,2.22,431.0,8.53
affectionate,7.23,4.77,6.9,2.28,115.0,8.5
affidavit,4.38,3.73,4.04,4.0,100.0,15.69
affiliation,5.32,3.9,5.3,1.93,25.0,12.28
affinity,5.86,4.29,6.55,,,12.22
affirmation,5.95,3.95,6.53,2.12,27.0,12.56
affirmative,5.94,3.64,6.78,1.93,241.0,10.67
affliction,3.76,5.1,4.17,2.27,60.0,11.32
afford,6.56,4.33,6.44,1.83,2266.0,7.47
affordable,7.52,4.11,6.16,2.1,33.0,8.15
affront,4.53,4.5,5.04,1.83,30.0,12.44
afire,6.05,5.41,4.38,,,11.87
afloat,5.57,4.13,4.96,3.34,85.0,9.33
aforementioned,5.21,3.5,4.96,1.93,24.0,14.58
afraid,2.25,5.12,2.71,2.7,12631.0,4.42
african,6.42,4.11,5.8,,,
afterlife,5.53,4.32,5.86,1.9,81.0,8.11
aftermath,4.29,5.38,4.23,1.97,53.0,12.05
afternoon,6.68,3.48,5.71,3.7,4666.0,4.65
aftershave,5.55,3.5,5.81,4.56,55.0,10.42
age,5.78,3.71,4.67,2.86,4039.0,4.38
agency,5.14,3.17,4.89,3.87,991.0,10.58
agenda,5.05,3.62,5.36,2.66,373.0,9.95
agent,5.23,3.43,5.65,3.61,5235.0,9.55
aggravate,2.55,5.9,4.85,2.26,37.0,8.32
aggravation,2.48,5.35,4.45,1.53,59.0,9.11
aggression,3.18,5.69,4.65,2.68,143.0,9.3
aggressive,3.08,5.87,5.49,2.54,405.0,8.32
aggressiveness,3.58,6.43,5.21,2.59,20.0,11.06
aggressor,2.8,6.55,4.57,3.29,29.0,11.47
agile,5.95,4.95,6.09,2.31,20.0,11.94
agility,6.55,4.21,6.41,2.38,23.0,10.06
aging,3.0,3.8,3.06,2.88,131.0,7.35
agitate,3.36,5.82,4.55,2.93,22.0,10.17
agitation,2.84,4.75,3.29,2.33,25.0,11.5
aglow,5.84,4.83,5.59,2.29,24.0,10.06
agonizing,2.68,6.71,4.04,2.0,36.0,10.89
agony,2.46,5.78,4.0,2.38,191.0,9.22
agree,7.17,3.62,6.94,2.31,3298.0,7.68
agreeable,6.9,3.55,6.97,2.07,81.0,8.41
agreement,6.75,4.05,6.48,2.22,892.0,8.16
agricultural,5.5,3.55,5.74,3.29,48.0,10.11
agriculture,6.1,3.05,6.0,3.67,56.0,10.32
ahoy,5.58,3.95,5.45,2.0,189.0,7.61
aid,6.29,4.55,5.95,3.1,709.0,7.33
aide,5.6,4.0,7.05,3.59,103.0,7.83
aids,3.52,3.75,4.88,3.44,54.0,8.89
aids,1.33,5.0,3.55,3.44,54.0,8.89
ailing,2.95,4.52,4.15,2.81,26.0,10.63
ailment,3.0,3.68,3.14,2.93,26.0,10.37
aim,5.95,4.0,6.5,3.27,758.0,6.72
air,6.71,3.25,5.72,4.11,7090.0,3.94
airbag,5.4,3.64,4.81,4.81,20.0,12.26
airborne,5.25,3.52,4.48,3.45,215.0,9.85
aircraft,6.3,4.86,5.71,4.4,482.0,7.61
aircraft carrier,5.25,4.64,5.85,4.93,0.0,
airfield,5.74,4.38,4.82,4.7,118.0,8.6
airhead,4.1,4.3,4.19,2.48,27.0,10.17
airline,5.36,4.12,4.92,4.0,331.0,8.74
airliner,6.05,4.0,4.25,4.45,29.0,9.89
airlock,4.85,4.23,5.0,,,11.61
airplane,5.25,5.62,4.12,4.96,557.0,3.94
airport,6.0,5.5,5.79,4.87,1940.0,6.84
airship,5.63,4.88,4.43,4.92,30.0,10.8
airspace,5.5,4.4,4.91,3.58,82.0,11.5
airspeed,4.95,4.33,5.24,3.04,24.0,10.9
airstrip,4.76,3.83,5.1,4.68,57.0,8.16
airtight,5.1,3.3,4.76,3.42,57.0,9.84
airway,4.95,4.0,3.95,4.34,83.0,11.16
aisle,5.17,2.5,4.87,4.35,379.0,5.95
ajar,5.0,3.26,5.28,3.27,23.0,9.67
aka,4.63,3.39,4.4,,,10.94
alabaster,5.5,3.95,5.35,3.81,34.0,13.67
alarm,3.86,6.85,6.58,4.47,1522.0,6.39
alarm clock,3.47,5.36,4.82,4.85,0.0,
alarming,3.52,6.5,4.05,2.07,58.0,9.78
albatross,5.68,3.09,4.91,4.81,40.0,11.64
albino,4.9,3.09,4.05,4.41,59.0,9.79
album,6.19,5.63,5.86,4.69,522.0,6.72
alcohol,4.11,5.17,4.0,4.76,845.0,9.0
alcoholic,2.49,5.48,3.27,3.37,316.0,9.95
alcoholism,2.0,5.0,3.0,2.93,43.0,11.6
alcove,5.5,3.32,5.33,4.08,24.0,12.11
alderman,4.44,3.05,5.04,,,14.19
ale,5.95,4.1,5.17,4.65,202.0,10.16
alert,5.38,5.14,6.58,2.59,1051.0,8.9
alfalfa,4.79,3.67,5.73,4.69,33.0,8.83
algebra,5.4,4.6,4.54,3.14,90.0,11.47
algorithm,5.3,3.7,4.04,3.07,27.0,14.56
alias,5.0,4.71,5.94,2.86,208.0,9.47
alibi,4.16,4.5,5.17,2.57,426.0,12.5
alien,4.45,4.86,3.56,3.52,889.0,7.5
alienate,2.79,4.27,3.71,1.83,29.0,13.05
alienation,2.53,5.14,3.33,1.73,22.0,13.47
alight,5.67,3.86,5.88,2.96,21.0,11.41
align,5.95,3.32,5.95,2.79,34.0,9.85
alignment,6.0,3.92,6.32,3.26,67.0,11.76
alimony,3.86,3.09,4.32,3.08,132.0,14.47
alive,6.57,5.93,6.77,3.14,7878.0,5.11
allegation,3.26,5.9,3.96,1.79,27.0,11.84
alleged,3.62,5.09,4.27,1.82,203.0,12.05
allegiance,5.8,5.17,7.05,1.77,159.0,8.42
allegro,5.0,3.89,5.36,,,13.07
allergic,3.0,5.4,3.81,2.55,413.0,7.72
allergy,2.9,3.9,3.5,3.68,86.0,8.11
alleviate,6.25,3.45,5.84,2.48,23.0,11.39
alley,4.17,4.08,4.63,4.82,831.0,7.26
alleyway,3.46,3.7,5.2,4.3,40.0,8.11
alliance,6.14,4.4,5.78,2.5,465.0,11.28
allied,5.95,3.38,5.4,2.38,147.0,10.85
alligator,4.23,5.36,4.1,4.96,178.0,4.78
allow,6.39,2.95,6.11,2.41,2263.0,5.32
allowance,6.74,4.05,5.7,3.07,265.0,6.95
alloy,5.2,3.32,5.9,4.29,52.0,14.53
allure,6.9,4.25,5.77,1.92,30.0,11.83
alluring,6.74,4.35,5.86,2.07,21.0,12.89
ally,6.05,4.8,6.84,2.61,1666.0,9.61
almanac,5.55,3.24,5.88,4.44,43.0,10.58
almighty,6.15,4.59,5.81,1.9,446.0,8.47
almond,6.05,2.89,6.46,4.71,56.0,7.67
aloha,7.1,3.82,6.33,2.59,149.0,10.15
alone,3.85,4.0,4.5,2.86,15735.0,4.94
aloof,4.59,3.09,4.63,1.46,33.0,13.41
alpha,5.5,3.67,6.32,1.81,414.0,12.22
alphabet,5.95,3.15,5.79,4.31,127.0,4.22
alphabetical,6.32,3.0,6.14,3.07,44.0,6.26
alpine,5.84,3.52,5.74,3.7,65.0,11.28
altar,5.59,4.05,5.68,4.85,259.0,7.16
altar boy,4.76,3.11,4.62,4.56,0.0,
alter,4.57,4.17,5.57,3.07,244.0,9.47
alteration,5.05,4.05,6.15,3.21,36.0,10.17
altercation,3.61,5.62,4.4,3.21,37.0,11.67
alternate,5.15,3.48,5.2,2.43,180.0,8.83
alternating,5.37,4.27,5.53,2.48,21.0,12.0
alternative,5.33,3.61,6.33,2.46,476.0,10.11
altimeter,4.5,3.61,5.0,,,14.13
altitude,5.27,4.15,5.46,2.96,198.0,9.58
aluminum,5.1,4.05,6.0,4.88,115.0,7.26
alumnus,4.95,3.23,6.1,,,14.0
alzheimers,2.26,4.5,2.0,,,
amaretto,6.0,4.04,5.19,4.6,22.0,14.63
amateur,4.58,3.55,5.25,2.31,334.0,10.53
amaze,7.24,5.0,5.83,2.0,82.0,7.5
amazed,7.55,5.95,6.11,1.52,261.0,7.17
amazement,7.29,6.3,6.43,1.89,36.0,9.22
amazing,7.72,6.05,6.83,1.55,4167.0,5.22
ambassador,5.5,3.91,6.2,4.28,689.0,11.0
amber,6.15,3.36,6.21,4.35,473.0,9.28
ambience,6.35,3.85,5.57,1.72,37.0,13.28
ambient,6.33,3.2,4.86,2.04,26.0,12.8
ambiguous,5.16,4.0,5.12,1.48,37.0,13.67
ambition,7.28,4.86,6.36,1.74,273.0,11.29
ambitious,6.33,5.76,5.88,1.81,243.0,11.05
ambrosia,5.95,4.05,5.67,,,13.82
ambulance,3.71,5.33,3.29,4.81,1143.0,6.16
ambush,3.17,5.58,3.96,3.16,277.0,9.3
amend,5.85,3.06,4.96,2.32,38.0,11.39
amendment,5.6,3.5,4.77,2.44,209.0,10.06
amends,6.68,3.95,5.96,1.92,94.0,10.16
amiable,6.7,2.85,6.14,2.39,30.0,13.11
amino,4.45,3.83,5.73,2.74,31.0,13.78
ammo,4.18,5.53,5.52,4.85,274.0,8.11
ammonia,3.74,3.0,3.83,4.44,76.0,11.0
ammonium,4.06,4.37,4.84,4.04,26.0,12.35
ammunition,4.59,5.7,5.95,4.88,300.0,9.67
amnesia,3.43,5.04,3.08,3.61,189.0,10.61
amnesty,5.38,3.86,6.0,2.18,68.0,12.95
amorous,5.95,4.21,6.0,,,13.71
amount,5.42,3.53,5.39,2.74,1262.0,6.63
amour,6.43,5.43,5.91,,,12.67
amp,5.79,5.05,5.13,3.59,93.0,12.11
amphibian,5.4,3.35,5.42,3.77,20.0,8.33
amphibious,5.75,5.7,4.85,3.64,30.0,10.88
ample,5.89,3.28,6.04,2.5,93.0,11.63
amputate,2.1,5.43,3.0,3.9,44.0,9.6
amputation,1.84,4.86,2.85,3.76,43.0,11.89
amuck,4.0,4.41,3.74,1.68,26.0,11.18
amulet,5.75,3.95,5.79,4.0,118.0,11.53
amuse,7.1,5.17,6.8,2.57,133.0,9.0
amused,7.05,4.27,5.93,1.96,128.0,7.83
amusement,7.0,4.82,6.59,2.07,191.0,8.79
amusing,7.6,5.18,6.79,2.14,469.0,8.44
anaconda,4.43,6.0,4.08,4.93,24.0,10.06
anagram,4.37,3.86,4.83,3.63,26.0,11.38
anal,4.0,4.29,4.45,3.3,138.0,13.17
analogy,5.24,3.95,5.33,1.61,58.0,11.33
analysis,5.25,3.74,5.95,2.56,563.0,11.32
analyst,5.0,3.24,4.76,4.23,177.0,11.75
analytical,6.0,4.13,6.43,1.86,30.0,12.44
analyze,5.65,4.1,5.96,2.3,165.0,11.39
analyzer,4.62,3.48,5.88,2.56,26.0,11.37
anaphylactic,4.0,5.57,4.17,3.0,27.0,16.27
anarchist,2.76,4.16,4.57,2.83,29.0,12.63
anarchy,3.68,4.86,3.1,2.12,103.0,13.94
anatomy,6.29,4.43,5.95,3.59,163.0,11.94
ancestor,6.37,3.73,4.81,3.24,86.0,8.61
ancestral,6.6,3.6,5.05,1.96,29.0,11.21
ancestry,6.29,3.71,4.16,2.83,24.0,10.11
anchor,5.16,3.32,5.29,4.77,378.0,5.72
anchorage,5.09,3.82,5.8,3.48,36.0,12.0
ancient,7.24,3.48,4.86,2.04,1105.0,8.26
android,5.62,3.5,5.75,4.22,45.0,13.89
anecdote,5.62,4.65,6.0,2.64,55.0,14.33
anemia,3.05,4.09,3.55,3.25,35.0,12.0
anemic,3.45,3.45,3.14,2.74,32.0,13.42
anesthesia,4.84,3.64,2.95,3.41,101.0,12.53
anesthesiologist,4.95,3.56,3.68,4.27,27.0,13.0
anesthetic,5.48,3.23,4.72,3.93,68.0,13.05
aneurysm,2.5,5.38,2.7,3.79,101.0,15.05
angel,7.71,4.24,5.9,3.82,3992.0,4.0
angelic,6.68,4.27,6.32,2.22,29.0,8.33
anger,2.5,5.93,5.14,2.41,991.0,6.0
angina,2.85,4.72,4.0,,,15.86
angiogram,4.19,3.61,4.28,,,15.0
angle,4.55,3.22,5.27,3.5,761.0,8.05
angora,5.63,2.95,5.0,,,15.12
angry,2.53,6.2,4.11,2.53,3008.0,4.45
angst,3.5,5.76,3.62,1.96,47.0,13.12
anguish,3.14,5.41,4.27,2.38,110.0,11.54
anguished,2.78,4.79,2.88,2.28,13.0,12.06
animal,7.06,4.3,5.72,4.61,2320.0,2.89
animated,6.65,5.77,6.71,2.96,61.0,7.0
animation,6.42,5.52,5.16,3.41,62.0,8.53
animosity,3.4,5.83,5.04,2.11,31.0,12.58
ankle,5.4,3.11,5.58,4.81,409.0,4.89
anklet,4.75,3.57,5.08,4.75,21.0,9.06
annals,4.8,2.6,4.95,,,14.27
annex,4.41,4.0,5.26,4.0,43.0,12.53
annihilate,3.15,6.44,4.62,2.75,36.0,11.32
annihilation,2.58,5.52,3.2,2.69,41.0,12.06
anniversary,6.95,4.0,6.86,3.15,939.0,7.33
announce,5.52,3.65,5.48,3.31,498.0,9.48
announcement,5.81,4.3,5.05,2.79,525.0,7.75
announcer,5.84,4.5,4.07,4.52,574.0,6.85
annoy,2.49,5.04,4.64,1.93,128.0,7.22
annoyance,2.95,4.1,3.45,2.14,25.0,9.47
annoyed,2.8,5.29,4.08,2.89,175.0,7.72
annoying,3.0,5.55,3.28,2.31,567.0,6.52
annual,5.19,3.7,4.9,1.78,367.0,9.26
annul,3.83,4.23,4.9,2.28,26.0,12.65
annulment,4.05,4.14,4.15,2.25,76.0,12.37
anointed,4.79,3.32,5.18,2.71,38.0,12.56
anomaly,4.84,4.25,4.26,1.79,63.0,12.44
anonymity,4.81,3.29,5.88,1.88,46.0,13.44
anonymous,5.75,4.13,5.48,2.03,429.0,10.26
anorexic,2.71,4.24,3.43,2.85,29.0,12.06
answer,6.1,4.0,5.95,2.89,8986.0,5.43
ant,3.9,3.27,5.3,4.86,273.0,4.32
antagonistic,4.32,4.11,4.41,2.07,22.0,13.94
antagonize,3.15,4.95,4.0,2.43,27.0,12.28
antelope,5.68,4.46,5.57,5.0,50.0,8.39
antenna,5.43,3.15,5.67,4.75,122.0,7.05
anterior,4.89,3.36,4.64,3.5,48.0,14.12
anthem,5.95,4.48,6.29,3.36,96.0,9.44
anthill,4.32,4.63,4.76,4.89,29.0,7.0
anthrax,2.32,4.72,2.71,4.44,66.0,14.26
anthropological,5.53,3.82,5.14,2.29,26.0,14.88
anthropologist,5.7,3.27,5.19,4.0,53.0,12.56
anthropology,5.3,2.91,6.0,2.41,67.0,14.61
anti,4.47,4.23,5.05,2.12,26.0,9.37
antiaircraft,4.85,4.6,4.73,3.48,25.0,12.06
antibiotic,5.88,4.05,5.72,4.43,33.0,9.53
antibiotics,5.05,4.05,5.11,4.45,187.0,9.55
antichrist,2.36,5.58,4.39,2.93,49.0,12.79
anticipate,6.0,5.7,5.36,1.54,129.0,10.6
anticipation,5.26,5.39,5.53,1.93,127.0,10.0
antics,3.95,5.1,5.24,2.6,50.0,9.56
antidote,6.55,3.24,6.08,3.42,221.0,10.11
antigravity,5.74,5.1,3.77,2.37,28.0,11.37
antiquated,5.0,4.95,4.69,2.22,28.0,13.57
antique,6.5,4.0,5.79,3.75,309.0,8.05
antiques,6.63,3.68,5.17,4.22,137.0,11.05
antiseptic,4.57,3.15,4.77,3.85,44.0,9.95
antisocial,3.21,5.32,5.33,1.86,41.0,11.47
antsy,4.36,5.23,3.85,2.5,32.0,9.06
anus,2.9,4.39,4.96,4.86,56.0,11.17
anvil,5.05,4.4,5.38,4.96,32.0,10.79
anxiety,2.38,4.78,3.39,2.21,345.0,8.17
anxious,3.8,6.2,4.15,1.68,719.0,10.21
anytime,5.81,4.6,5.32,1.57,1248.0,5.89
aorta,4.35,3.64,4.37,4.61,78.0,13.06
aortic,4.25,3.5,4.58,,,13.12
apache,5.2,3.7,4.95,3.88,251.0,10.5
apartment,5.72,3.8,5.33,4.9,4235.0,7.8
apartments,5.0,3.28,5.18,4.71,215.0,6.56
apathy,3.68,3.8,5.15,2.04,24.0,14.21
ape,5.21,4.25,5.38,4.79,493.0,5.89
apex,5.52,3.48,5.17,3.41,43.0,12.58
aphrodisiac,6.43,5.96,5.04,3.19,82.0,13.32
apocalypse,3.24,5.04,2.65,2.21,126.0,12.78
apologetic,6.65,4.0,5.0,1.88,22.0,9.8
apologize,4.94,3.52,4.22,2.63,2518.0,5.67
apology,6.24,4.0,5.1,2.86,804.0,5.56
apostle,5.5,4.38,4.71,3.22,71.0,9.5
apothecary,5.48,4.23,5.35,3.76,20.0,14.47
