word,aoa,valence,arousal,dominance,concreteness
schommel,4.59,4.84,4.41,3.55,4.93
kak,4.6,,,,4.47
zakdoek,4.6,,,,4.87
varken,4.6,3.56,3.78,3.52,4.8
winkeltje,4.6,,,,
nacht,4.6,4.47,2.86,4.19,3.8
tuin,4.6,5.05,3.14,3.64,4.47
vlees,4.61,4.7,3.45,4.09,4.47
daar,4.61,,,,1.93
dat,4.61,,,,1.33
handjeklap,4.61,,,,3.8
soep,4.61,4.75,3.22,3.61,4.73
woord,4.61,4.39,3.56,4.27,2.67
muts,4.62,4.16,3.23,3.48,5.0
stap,4.63,4.19,4.34,4.0,3.53
tand,4.64,4.0,3.33,3.98,5.0
licht,4.64,4.98,3.8,4.27,3.93
poep,4.64,,,,4.87
vlug,4.65,4.16,5.38,4.34,2.6
boos,4.65,2.38,5.67,5.16,2.73
kop,4.65,3.78,3.8,4.36,4.6
morgen,4.65,4.53,3.89,3.98,1.73
sok,4.65,3.98,2.92,3.33,4.8
spreken,4.65,4.8,4.72,4.64,4.47
sprookje,4.65,5.66,3.7,3.61,3.47
staan,4.65,4.08,3.73,4.09,4.0
stoppen,4.65,3.44,3.91,4.0,3.33
zacht,4.65,5.48,2.63,3.17,3.73
thuis,4.66,5.58,3.13,4.69,3.13
grond,4.66,4.06,3.0,3.95,4.6
bord,4.66,4.08,3.19,3.84,4.73
knie,4.66,4.13,4.0,3.84,4.79
plas,4.66,3.45,3.4,3.52,4.6
frietjes,4.67,,,,4.67
glijbaan,4.67,,,,4.67
jij,4.67,,,,2.4
paard,4.67,4.63,4.72,4.7,4.93
paashaas,4.68,,,,3.27
groenten,4.7,,,,4.67
nog,4.7,,,,1.4
fruit,4.7,5.22,3.34,4.02,4.2
duwen,4.71,3.27,5.17,4.63,3.8
kuiken,4.71,4.81,4.13,2.67,4.8
papier,4.71,4.22,3.09,3.55,4.73
stappen,4.71,4.55,4.83,4.25,3.93
warm,4.71,5.61,3.89,4.77,3.47
ziek,4.71,2.06,2.83,3.0,3.2
tien,4.71,,,,3.27
help,4.72,,,,
hij,4.72,,,,2.07
knuffelen,4.72,,,,4.27
paasei,4.72,,,,4.6
speeltijd,4.72,,,,3.0
van,4.72,,,,1.13
wij,4.72,,,,1.93
pa,4.73,,,,3.4
blabla,4.74,,,,1.57
schaap,4.74,4.42,3.34,3.13,5.0
lied,4.74,5.2,4.36,4.17,4.47
kamer,4.75,4.33,3.2,3.92,4.27
eieren,4.75,,,,4.8
jullie,4.75,,,,2.0
koekje,4.75,,,,4.87
miauwen,4.75,,,,4.4
speeltuin,4.75,,,,4.73
slaapkamer,4.75,,,,4.27
potlood,4.76,,,,5.0
kast,4.77,4.16,2.94,3.97,4.67
chocolade,4.78,5.56,3.75,4.19,4.87
kapot,4.78,2.48,3.77,3.44,3.07
klaar,4.78,5.16,3.81,4.53,2.0
kleuter,4.78,4.56,5.31,2.94,3.8
leeg,4.78,2.94,2.38,3.13,3.47
liggen,4.78,4.72,2.48,3.33,4.33
slaap,4.78,5.11,1.86,3.72,3.73
zee,4.78,5.23,4.08,5.14,4.73
bloemen,4.78,,,,4.8
de,4.78,,,,1.0
we,4.78,,,,1.93
beest,4.78,3.48,5.22,5.17,4.27
vlieg,4.78,3.38,4.28,2.83,4.67
steen,4.78,3.78,2.63,4.88,4.87
lip,4.79,4.56,3.7,3.63,4.8
mensen,4.8,,,,3.8
sorry,4.8,,,,1.73
mes,4.8,3.16,4.44,5.3,4.73
friet,4.8,5.13,3.68,3.89,4.73
acht,4.81,,,,3.2
eend,4.81,4.41,3.81,3.45,4.87
trui,4.83,4.41,3.03,3.63,4.93
balletje,4.83,,,,4.47
blokkendoos,4.83,,,,4.67
het,4.83,,,,1.2
luisteren,4.83,,,,3.2
ok,4.83,,,,2.0
tandenborstel,4.83,,,,4.8
tandpasta,4.83,,,,4.8
verhaal,4.83,,,,2.87
welterusten,4.83,,,,1.73
dromen,4.84,5.64,3.42,3.83,2.73
flink,4.84,5.27,4.28,4.75,1.8
gooien,4.84,3.92,5.28,4.33,4.27
krijgen,4.84,4.89,3.92,4.25,2.27
muziek,4.84,5.75,4.83,4.61,4.0
plakken,4.84,3.86,4.34,3.73,3.8
sneeuwen,4.84,4.97,3.7,4.14,4.2
verven,4.84,4.3,4.88,4.11,4.27
vriend,4.84,6.3,4.48,4.95,2.4
zak,4.84,3.38,3.13,3.44,4.6
zingen,4.84,5.22,5.22,4.31,4.27
glas,4.84,4.17,3.39,4.14,4.73
straf,4.84,2.36,4.78,5.31,2.93
fruitsap,4.85,,,,4.93
eentje,4.85,,,,2.4
teddy,4.85,,,,
negen,4.86,,,,3.07
potje,4.87,,,,4.27
dokter,4.87,4.47,4.75,5.0,3.6
zetel,4.87,4.58,2.83,4.02,5.0
snot,4.87,2.67,3.28,3.3,4.67
zandbak,4.88,,,,4.87
rug,4.88,4.11,3.7,4.08,4.93
oranje,4.88,,,,4.4
lamp,4.89,4.36,3.33,3.7,4.67
beker,4.89,4.53,3.52,4.17,4.73
doos,4.89,4.02,3.03,3.53,4.87
chocola,4.89,,,,4.93
met,4.89,,,,1.36
paddenstoel,4.89,,,,4.87
pannenkoek,4.89,,,,4.73
snoepje,4.89,,,,4.73
vuur,4.89,3.95,5.3,5.69,4.73
trein,4.89,4.25,4.64,4.53,5.0
frieten,4.9,,,,4.79
geluid,4.9,,,,3.67
kado,4.9,,,,4.6
regenen,4.9,,,,4.67
bijten,4.9,3.0,5.45,4.81,4.47
geven,4.9,5.28,4.5,4.19,3.47
rijden,4.9,4.52,4.97,4.23,3.6
shampoo,4.9,4.77,3.48,3.5,4.53
t-shirt,4.9,,,,4.8
t-shirt,4.9,,,,4.8
t-shirt,4.9,,,,4.93
t-shirt,4.9,,,,4.93
t-shirt,4.9,,,,5.0
vragen,4.9,4.42,4.63,3.98,3.47
vuilnisbak,4.9,3.0,3.22,3.45,4.6
weg,4.9,3.84,3.97,4.02,4.07
staart,4.9,4.11,3.71,3.72,4.67
ruzie,4.9,2.14,5.95,4.84,3.4
fles,4.91,4.3,3.44,3.95,4.93
spin,4.91,2.98,4.7,4.27,4.73
avond,4.92,5.0,3.61,3.97,3.0
chocomelk,4.92,,,,4.93
ding,4.92,4.14,3.23,3.66,1.8
stok,4.92,3.83,3.28,4.08,4.8
oogje,4.92,,,,
cola,4.93,4.8,3.97,4.19,4.8
lego,4.93,,,,4.8
armen,4.94,,,,4.53
alsjeblief,4.94,,,,1.33
barbiepop,4.94,,,,4.67
bavet,4.94,,,,4.93
boterham,4.94,,,,4.93
in,4.94,,,,2.4
kou,4.94,,,,3.73
nu,4.94,,,,1.53
steentje,4.94,,,,4.8
boter,4.95,4.09,3.09,3.13,4.67
klokje,4.95,,,,4.53
badkamer,4.95,,,,4.6
vertellen,4.95,,,,3.2
korst,4.95,3.58,3.25,3.92,4.53
aapje,4.96,,,,
buiten,4.96,4.83,4.22,4.25,2.73
familie,4.96,5.88,4.05,4.84,2.8
fietsen,4.96,4.88,5.33,4.09,4.6
knippen,4.96,3.95,4.48,4.28,4.6
kunnen,4.96,5.08,4.69,4.8,1.67
poot,4.96,3.92,3.66,3.8,4.8
roepen,4.96,3.61,5.41,4.63,4.0
slaan,4.96,2.2,5.56,5.08,4.13
val,4.96,2.72,4.47,3.97,3.8
vol,4.96,4.25,3.84,4.64,3.93
wassen,4.96,4.39,4.45,3.91,4.47
kerst,4.96,5.67,3.95,4.47,3.07
wind,4.97,3.94,4.75,4.55,4.47
vuil,4.97,2.58,3.41,3.77,3.87
bakker,4.98,4.77,4.59,3.86,4.6
muur,4.98,3.91,2.81,4.48,4.8
stift,4.99,4.22,3.41,3.84,4.93
bus,4.99,4.03,4.02,4.22,4.73
wortel,4.99,4.38,3.31,3.67,4.8
vraag,5.0,4.23,3.98,3.98,2.47
appelmoes,5.0,,,,4.8
bedtijd,5.0,,,,2.6
hier,5.0,,,,2.13
maar,5.0,,,,1.07
snoepen,5.0,,,,4.53
tikkertje,5.0,,,,3.87
wat,5.0,,,,1.13
zaterdag,5.0,,,,2.73
zondag,5.0,,,,2.07
fust,5.0,,,,2.0
spinnaker,5.0,,,,3.75
dansen,5.0,5.56,5.81,4.27,4.27
kin,5.01,4.06,3.27,3.83,4.93
prins,5.01,5.05,4.2,5.13,3.53
luier,5.01,,,,4.73
bloed,5.01,2.83,4.41,4.42,4.8
spiegel,5.02,4.52,3.28,3.98,4.93
eitje,5.02,,,,4.73
wolken,5.02,,,,4.47
blazen,5.03,3.89,4.78,3.83,4.4
droog,5.03,4.16,3.13,3.69,3.8
kerstmis,5.03,5.84,4.02,4.42,
lawaai,5.03,2.72,5.52,5.0,3.87
nemen,5.03,4.0,4.72,4.44,3.0
nummer,5.03,4.14,3.34,3.86,3.47
sterk,5.03,5.58,5.0,5.95,2.73
tekenfilm,5.03,5.23,4.27,3.64,4.27
vliegen,5.03,4.89,5.38,4.47,4.27
voelen,5.03,4.92,4.63,4.19,2.8
zeggen,5.03,4.36,4.69,4.2,3.6
schaar,5.03,3.81,3.77,4.5,4.93
grijs,5.03,3.39,2.91,3.66,4.6
blaf,5.04,,,,
kussen,5.04,5.89,5.06,4.36,4.47
keuken,5.04,4.59,4.17,3.92,4.8
tante,5.04,4.91,3.81,3.86,3.13
kaas,5.05,4.84,3.13,3.86,4.93
lijm,5.05,3.95,3.08,4.59,4.53
duimzuigen,5.05,,,,4.6
mens,5.05,4.75,4.75,4.94,4.27
clown,5.05,4.63,5.16,3.38,4.73
bloemetje,5.06,,,,4.8
bomen,5.06,,,,4.67
fruitpap,5.06,,,,4.67
hoe,5.06,,,,1.14
lippen,5.06,,,,4.87
verstoppertje,5.06,,,,3.4
vingerverf,5.06,,,,4.13
zij,5.06,,,,2.87
peer,5.06,4.42,3.19,3.34,4.87
olifant,5.08,4.64,4.09,5.31,4.93
vloer,5.08,4.05,2.98,3.95,4.93
start,5.08,4.7,5.03,4.52,2.2
warmte,5.08,5.77,3.98,4.77,3.6
traan,5.08,2.8,3.88,3.11,4.73
groeien,5.09,5.31,5.0,4.64,3.2
lief,5.09,6.25,4.08,4.22,2.13
los,5.09,4.22,3.67,3.67,3.2
maandag,5.09,3.64,3.55,3.75,2.13
slecht,5.09,2.05,4.02,3.67,1.6
vroeg,5.09,3.52,3.28,4.06,1.87
winkel,5.09,4.61,4.3,4.05,4.27
rij,5.09,3.63,3.36,3.73,4.0
mouw,5.1,4.16,3.13,3.66,4.8
blad,5.1,4.23,3.06,3.52,4.87
appelsien,5.1,,,,5.0
pot,5.1,3.97,3.17,3.72,4.67
huisdier,5.11,,,,3.8
tomaat,5.11,4.53,3.24,3.3,4.87
lach,5.11,6.09,5.11,4.59,4.47
ouders,5.11,,,,3.07
af,5.11,,,,1.47
haren,5.11,,,,4.8
mannetje,5.11,,,,4.13
schooljuf,5.11,,,,4.2
twaalf,5.11,,,,2.6
chocolatje,5.11,,,,4.53
limonade,5.11,,,,4.87
telefoon,5.12,,,,4.87
knop,5.12,4.03,3.53,4.0,4.53
aardbei,5.12,5.42,3.28,3.34,5.0
paars,5.12,4.39,3.52,3.83,4.13
snor,5.12,3.81,3.09,4.03,4.8
vrouw,5.13,5.16,4.64,4.05,4.2
put,5.13,3.36,3.19,3.52,4.47
beren,5.13,4.08,4.98,5.13,
gezicht,5.14,4.77,3.78,4.34,4.2
hoek,5.15,3.97,3.28,3.88,4.33
eerste,5.15,,,,2.2
mee,5.15,,,,1.47
ontbijten,5.15,,,,3.4
poepje,5.15,,,,3.67
pudding,5.15,,,,4.87
uitdoen,5.15,,,,3.47
cadeau,5.15,5.84,4.5,4.39,3.8
carnaval,5.15,4.94,5.83,4.19,3.93
fee,5.15,5.23,4.09,3.52,3.27
juist,5.15,5.59,4.13,4.81,1.6
kammen,5.15,4.17,4.41,3.66,4.53
luid,5.15,3.39,5.25,5.16,3.53
meer,5.15,4.48,3.8,4.36,2.6
strand,5.15,5.73,2.94,4.16,4.8
wachten,5.15,3.16,2.81,3.28,3.4
zuigen,5.15,4.05,4.84,3.83,4.33
ver,5.15,3.47,3.97,4.03,2.13
blok,5.15,3.66,3.44,4.22,4.27
worst,5.16,4.13,3.27,3.58,4.93
moederdag,5.16,,,,2.73
leeuw,5.16,4.69,5.5,5.88,4.87
fout,5.16,2.56,3.86,3.8,2.2
abracadabra,5.17,,,,1.4
bedankt,5.17,,,,1.87
binnen,5.17,,,,3.0
kleuters,5.17,,,,4.2
ontbijt,5.17,,,,4.27
opeten,5.17,,,,3.87
sterretje,5.17,,,,4.47
voetballen,5.17,,,,4.13
wasco,5.17,,,,4.57
spook,5.17,3.09,4.59,4.11,3.8
roze,5.18,4.59,3.19,3.13,4.47
slaapje,5.18,,,,3.53
chips,5.19,,,,4.73
winter,5.19,4.02,3.06,4.63,2.87
ondergoed,5.19,,,,4.53
deken,5.19,4.67,2.77,3.5,4.73
nek,5.19,4.13,3.55,3.8,4.6
sinaasappelsap,5.2,,,,4.93
kabouter,5.2,,,,3.87
veters,5.2,,,,4.73
geit,5.2,4.16,3.78,3.39,4.87
knuffels,5.2,,,,
pet,5.21,4.27,3.19,3.64,4.8
zwemmen,5.21,4.91,5.59,4.16,4.6
kring,5.21,4.48,3.59,4.17,4.33
pakjes,5.21,,,,4.2
vandaag,5.21,,,,1.73
duw,5.21,2.88,5.03,4.63,3.93
hik,5.21,3.41,4.52,3.77,4.07
kap,5.21,3.81,3.25,3.69,4.87
kermis,5.21,5.02,5.61,3.8,4.27
kwijt,5.21,2.61,3.72,3.23,1.93
monster,5.21,2.31,5.33,5.39,3.47
straat,5.21,4.17,3.84,3.92,4.6
pan,5.21,4.2,3.59,3.73,4.87
zoeken,5.21,3.84,4.95,3.63,3.6
sapje,5.22,,,,4.13
poppenkast,5.22,,,,4.27
kan,5.22,4.31,3.3,4.03,4.21
onder,5.22,,,,2.8
spelletje,5.22,,,,3.4
verf,5.23,4.44,3.36,3.84,4.8
donder,5.23,3.11,5.47,5.22,4.07
foto,5.24,4.8,3.38,4.03,4.47
lucht,5.24,4.75,3.27,3.83,3.87
wang,5.24,4.41,3.52,3.38,4.93
bij,5.24,,,,3.47
prent,5.24,4.25,3.53,3.56,4.4
draak,5.25,3.56,5.41,5.58,4.07
ring,5.25,4.91,3.38,4.17,4.67
vrijdag,5.25,,,,2.47
kar,5.26,3.97,3.67,3.88,4.73
tut,5.26,,,,4.27
aardappel,5.27,,,,4.93
antwoord,5.28,4.56,4.05,4.11,2.67
bel,5.28,4.2,4.27,4.05,4.87
blaffen,5.28,3.27,5.38,4.7,4.14
blijven,5.28,4.72,3.33,4.06,2.67
graag,5.28,5.58,4.33,4.45,1.4
kom,5.28,4.13,3.17,3.77,4.6
oud,5.28,3.36,2.83,3.13,3.2
ruiken,5.28,4.53,4.36,4.11,3.53
stinken,5.28,2.11,4.03,4.17,3.53
traag,5.28,2.97,2.38,2.94,2.6
diep,5.28,3.89,3.48,4.38,3.07
laag,5.28,3.27,2.94,2.77,2.8
aai,5.28,,,,4.07
abacadabra,5.28,,,,1.33
blaadje,5.28,,,,4.47
broekje,5.28,,,,4.87
dan,5.28,,,,1.27
die,5.28,,,,1.47
goedemiddag,5.28,,,,1.73
lievelingsdier,5.28,,,,2.93
muziekje,5.28,,,,3.73
pamper,5.28,,,,4.53
papfles,5.28,,,,4.73
slok,5.29,4.33,4.0,3.7,3.6
liegen,5.29,2.06,5.02,3.48,2.4
plant,5.29,4.64,2.77,3.55,4.47
broodje,5.3,,,,4.8
etenstijd,5.3,,,,2.47
slapengaan,5.3,,,,3.93
appelsiensap,5.3,,,,
grootpa,5.3,,,,
keukentje,5.3,,,,
playmobil,5.3,,,,
schooljuffrouw,5.3,,,,
tv,5.3,,,,
wafel,5.31,4.97,3.27,3.73,4.93
sinaasappel,5.31,,,,5.0
au,5.31,,,,2.38
puree,5.31,,,,4.6
nies,5.31,,,,
zwempak,5.32,,,,4.73
koning,5.32,4.78,4.14,5.45,3.47
venster,5.32,4.27,3.16,3.67,4.73
keel,5.32,4.02,3.63,3.86,4.67
grootvader,5.32,,,,3.27
krijt,5.33,4.19,3.17,3.44,4.6
zomer,5.33,6.17,4.33,4.63,2.53
handschoenen,5.33,,,,4.8
stoomboot,5.33,,,,4.8
suiker,5.33,4.66,3.83,3.8,4.6
suiker,5.33,4.66,3.83,3.8,4.73
suiker,5.33,4.66,3.83,3.8,4.73
suiker,5.33,4.66,3.83,3.8,4.8
suiker,5.33,4.66,3.83,3.8,4.93
suiker,5.33,4.66,3.83,3.8,5.0
boekentas,5.33,,,,4.8
goedemorgen,5.33,,,,2.0
kleurtje,5.33,,,,3.47
knien,5.33,,,,4.73
leerjaar,5.33,,,,2.93
lekstok,5.33,,,,4.67
luister,5.33,,,,2.86
prentenboek,5.33,,,,4.8
puzzelen,5.33,,,,3.8
sneeuwman,5.33,,,,4.93
te,5.33,,,,1.5
uit,5.33,,,,2.07
uitkleden,5.33,,,,4.13
voor,5.33,,,,2.07
voornaam,5.33,,,,2.67
wip,5.33,,,,4.47
zandkasteel,5.33,,,,4.87
pielen,5.33,,,,2.0
alles,5.33,,,,1.93
bos,5.34,4.78,3.33,4.09,4.71
erg,5.34,2.86,4.94,4.8,1.67
gat,5.34,3.2,3.47,3.77,4.73
heten,5.34,4.19,3.56,4.05,1.8
kam,5.34,4.2,3.34,3.66,4.8
kort,5.34,3.73,3.41,3.28,3.0
kwaad,5.34,2.28,5.69,5.31,2.67
lang,5.34,4.16,3.55,4.48,3.4
lelijk,5.34,2.2,3.45,3.67,2.13
maken,5.34,4.67,4.94,4.27,2.93
masker,5.34,3.41,3.39,3.8,4.6
mogen,5.34,4.91,4.08,4.0,1.47
open,5.34,5.09,4.03,4.44,2.87
pakken,5.34,4.06,4.75,4.42,3.2
planten,5.34,4.83,3.73,3.58,4.2
scheet,5.34,2.86,4.25,4.09,4.13
slikken,5.34,3.94,4.58,3.8,4.0
